Deployment_id,Longitude,Latitude,o1,o2,o3,o4,o5,d1,d2,d3,d4,d5,p1,p2,p3,p4,p5,e1,e2,e3,e4,e5
ECU-015-D0015,-78.2513274174758,-1.16218087654179,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.5,10,10,10,4.5
ECU-015-D0016,-78.3048765841459,-1.14085081181427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,7.5
ECU-015-D0017,-78.2504629653391,-1.16480973768959,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.5,10,10,10,5.5
ECU-015-D0018,-78.3064960623439,-1.14688920395959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,1.5
ECU-015-D0019,-78.2632709728015,-1.13119599946646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,0.5
ECU-015-D0020,-78.3134040594073,-1.14508828819188,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,4.5,1
ECU-015-D0021,-78.2776693652619,-1.1436355244149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,0.5
ECU-015-D0022,-78.3196850354484,-1.14751621180474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,3.5,1
ECU-015-D0023,-78.2812178448054,-1.14147002391453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,0.5
ECU-015-D0024,-78.2994404423016,-1.14529196592843,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,9.5,1
ECU-015-D0025,-78.317144424655,-1.15674089817836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,7.5
ECU-015-D0026,-78.3183503706568,-1.15375069640061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,2.5,1,1
ECU-015-D0027,-78.3207868226505,-1.15987127961268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.5,10,10,10,6.5
